Index,Feature Ordering
1,GrossSales = TotalSales > TaxableTransactions > SalesTaxIncGrossSales = TotalFullDeductions > TaxDue > TotalPrepayments > Prepayment2 > Prepayment1 > RemainingTax = TotalAmountDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = OtherDeductions = ExcessTax = Penalty = Interest
2,GrossSales = TotalSales > TaxableTransactions > SalesTaxIncGrossSales = TotalFullDeductions = RemainingTax = TotalAmountDue > TaxDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = OtherDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments = Penalty = Interest
3,GrossSales = TotalSales > TaxableTransactions > TaxDue > SalesTaxIncGrossSales = TotalFullDeductions > TotalPrepayments > RemainingTax = TotalAmountDue > Prepayment1 > Prepayment2 > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = OtherDeductions = ExcessTax = Penalty = Interest
4,GrossSales = TotalSales > TaxableTransactions > SalesTaxIncGrossSales = TotalFullDeductions = TaxDue > TotalPrepayments > Prepayment2 > Prepayment1 > RemainingTax = TotalAmountDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = OtherDeductions = ExcessTax = Penalty = Interest
5,GrossSales = TotalSales > NonTaxFoodProd = TotalFullDeductions > TaxableTransactions > RemainingTax = TotalAmountDue > TaxDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = OtherDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments = Penalty = Interest
6,GrossSales = TotalSales > TaxableTransactions > TaxDue > SalesTaxIncGrossSales = TotalFullDeductions = RemainingTax = TotalAmountDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = OtherDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments = Penalty = Interest
7,GrossSales = TotalSales > TaxableTransactions > TaxDue = RemainingTax = TotalAmountDue > OtherDeductions > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = TotalFullDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments = Penalty = Interest
8,GrossSales = TotalSales = TaxableTransactions > TaxDue > RemainingTax = TotalAmountDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = OtherDeductions = TotalFullDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments = Penalty = Interest
9,GrossSales = TotalSales = TaxableTransactions > TaxDue > RemainingTax = TotalAmountDue > DistrictTax > Penalty > Interest > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = OtherDeductions = TotalFullDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments
10,GrossSales = TotalSales > TaxableTransactions > SalesTaxIncGrossSales = TotalFullDeductions = TaxDue = RemainingTax = TotalAmountDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = OtherDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments = Penalty = Interest
11,GrossSales = TotalSales = TaxableTransactions > TaxDue > TotalPrepayments > RemainingTax = TotalAmountDue > Prepayment2 > Prepayment1 > DistrictTax > Penalty > Interest > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = OtherDeductions = TotalFullDeductions = ExcessTax
12,GrossSales = TotalSales = TaxableTransactions > TaxDue > RemainingTax = TotalAmountDue > TotalPrepayments > Prepayment1 = Prepayment2 > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = OtherDeductions = TotalFullDeductions = ExcessTax = Penalty = Interest
13,GrossSales = TotalSales = TaxableTransactions > RemainingTax = TotalAmountDue > TaxDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = OtherDeductions = TotalFullDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments = Penalty = Interest
14,GrossSales = TotalSales > TaxableTransactions > SalesTaxIncGrossSales = TaxDue > RemainingTax = TotalAmountDue > TotalPrepayments > Prepayment1 = Prepayment2 > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = OtherDeductions = TotalFullDeductions = ExcessTax = Penalty = Interest
15,GrossSales = TotalSales = TaxableTransactions > TaxDue > RemainingTax = TotalAmountDue > TotalPrepayments > Prepayment1 > Prepayment2 > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxFoodProd = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = OtherDeductions = TotalFullDeductions = ExcessTax = Penalty = Interest
16,GrossSales = TotalSales > NonTaxFoodProd = TotalFullDeductions > TaxableTransactions > TaxDue = RemainingTax = TotalAmountDue > DistrictTax > UseTaxPurchases = FixtureAndEquipSales = OtherRetResales = NonTaxableLabor = GovernmentSales = InterForeignSales = SalesTaxIncGrossSales = OtherDeductions = ExcessTax = Prepayment1 = Prepayment2 = TotalPrepayments = Penalty = Interest
