rules,support,confidence,coverage,lift,count
"{fcurGrossSales=[2.9696e+05,2.9749e+05)} => {fcurTotalSales=[2.9696e+05,2.9749e+05)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[2.9696e+05,2.9749e+05)} => {fcurDistrictTax=[3115,3149)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[2.9696e+05,2.9749e+05)} => {fcurTaxDue=[21859,22191)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[2.9696e+05,2.9749e+05)} => {fcurPrepayment1=[6057.5,6109.7)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[2.9696e+05,2.9749e+05)} => {fcurPrepayment2=[7088,7103)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[2.9696e+05,2.9749e+05)} => {fcurRemainingTax=[7767.4,7778.8)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[2.9696e+05,2.9749e+05)} => {fcurTotalAmountDue=[8674.2,8680.9)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4696,4746)} => {fcurTaxDue=[25919,26005)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4696,4746)} => {fcurPrepayment1=[8712.3,8774.4)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4696,4746)} => {fcurPrepayment2=[9443,9454)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4696,4746)} => {fcurRemainingTax=[7631,7730.8)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4696,4746)} => {fcurTotalAmountDue=[7710.6,7731.8)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4696,4746)} => {fcurTotalSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4696,4746)} => {fcurGrossSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[25919,26005)} => {fcurPrepayment1=[8712.3,8774.4)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[25919,26005)} => {fcurPrepayment2=[9443,9454)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[25919,26005)} => {fcurRemainingTax=[7631,7730.8)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[25919,26005)} => {fcurTotalAmountDue=[7710.6,7731.8)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[25919,26005)} => {fcurTotalSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[25919,26005)} => {fcurGrossSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[8712.3,8774.4)} => {fcurPrepayment2=[9443,9454)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[8712.3,8774.4)} => {fcurRemainingTax=[7631,7730.8)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[8712.3,8774.4)} => {fcurTotalAmountDue=[7710.6,7731.8)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[8712.3,8774.4)} => {fcurTotalSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[8712.3,8774.4)} => {fcurGrossSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment2=[9443,9454)} => {fcurRemainingTax=[7631,7730.8)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment2=[9443,9454)} => {fcurTotalAmountDue=[7710.6,7731.8)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment2=[9443,9454)} => {fcurTotalSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment2=[9443,9454)} => {fcurGrossSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurRemainingTax=[7631,7730.8)} => {fcurTotalAmountDue=[7710.6,7731.8)}",0.012820513,1,0.012820513,78,1
"{fcurRemainingTax=[7631,7730.8)} => {fcurTotalSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurRemainingTax=[7631,7730.8)} => {fcurGrossSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[7710.6,7731.8)} => {fcurTotalSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[7710.6,7731.8)} => {fcurGrossSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.5976e+05,3.6036e+05)} => {fcurTotalSales=[3.5976e+05,3.6036e+05)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.5976e+05,3.6036e+05)} => {fcurDistrictTax=[4358,4416)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.5976e+05,3.6036e+05)} => {fcurTaxDue=[28768,28844)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.5976e+05,3.6036e+05)} => {fcurPrepayment1=[6859.3,6896.2)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.5976e+05,3.6036e+05)} => {fcurPrepayment2=[6501,6585)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.5976e+05,3.6036e+05)} => {fcurRemainingTax=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.5976e+05,3.6036e+05)} => {fcurTotalAmountDue=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.5976e+05,3.6036e+05)} => {fcurDistrictTax=[4358,4416)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.5976e+05,3.6036e+05)} => {fcurTaxDue=[28768,28844)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.5976e+05,3.6036e+05)} => {fcurPrepayment1=[6859.3,6896.2)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.5976e+05,3.6036e+05)} => {fcurPrepayment2=[6501,6585)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.5976e+05,3.6036e+05)} => {fcurRemainingTax=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.5976e+05,3.6036e+05)} => {fcurTotalAmountDue=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4358,4416)} => {fcurTaxDue=[28768,28844)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4358,4416)} => {fcurPrepayment1=[6859.3,6896.2)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4358,4416)} => {fcurPrepayment2=[6501,6585)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4358,4416)} => {fcurRemainingTax=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[4358,4416)} => {fcurTotalAmountDue=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[28768,28844)} => {fcurPrepayment1=[6859.3,6896.2)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[28768,28844)} => {fcurPrepayment2=[6501,6585)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[28768,28844)} => {fcurRemainingTax=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[28768,28844)} => {fcurTotalAmountDue=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[6859.3,6896.2)} => {fcurPrepayment2=[6501,6585)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[6859.3,6896.2)} => {fcurRemainingTax=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[6859.3,6896.2)} => {fcurTotalAmountDue=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment2=[6501,6585)} => {fcurRemainingTax=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment2=[6501,6585)} => {fcurTotalAmountDue=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurRemainingTax=[14265,15453)} => {fcurTotalAmountDue=[14265,15453)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1235e+05,3.1299e+05)} => {fcurTotalSales=[3.1443e+05,3.1464e+05)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1235e+05,3.1299e+05)} => {fcurDistrictTax=[3542,3550)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1235e+05,3.1299e+05)} => {fcurTaxDue=[20593,20730)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1235e+05,3.1299e+05)} => {fcurPrepayment1=[3966.5,4569.2)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1235e+05,3.1299e+05)} => {fcurPrepayment2=[4458,4800)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1235e+05,3.1299e+05)} => {fcurRemainingTax=[11386,11543)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1235e+05,3.1299e+05)} => {fcurTotalAmountDue=[11445,11604)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1443e+05,3.1464e+05)} => {fcurDistrictTax=[3542,3550)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1443e+05,3.1464e+05)} => {fcurTaxDue=[20593,20730)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1443e+05,3.1464e+05)} => {fcurPrepayment1=[3966.5,4569.2)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1443e+05,3.1464e+05)} => {fcurPrepayment2=[4458,4800)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1443e+05,3.1464e+05)} => {fcurRemainingTax=[11386,11543)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1443e+05,3.1464e+05)} => {fcurTotalAmountDue=[11445,11604)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[3542,3550)} => {fcurTaxDue=[20593,20730)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[3542,3550)} => {fcurPrepayment1=[3966.5,4569.2)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[3542,3550)} => {fcurPrepayment2=[4458,4800)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[3542,3550)} => {fcurRemainingTax=[11386,11543)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[3542,3550)} => {fcurTotalAmountDue=[11445,11604)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.0862e+05,3.0892e+05)} => {fcurGrossSales=[3.0862e+05,3.0892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[9204.6,9220.6)} => {fcurRemainingTax=[9216.4,9247.4)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[9204.6,9220.6)} => {fcurPrepayment2=[1.01e+04,1.022e+04)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[9204.6,9220.6)} => {fcurPrepayment1=[9210.3,9292)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[9204.6,9220.6)} => {fcurGrossSales=[3.2438e+05,3.2892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[9204.6,9220.6)} => {fcurTotalSales=[3.2438e+05,3.2892e+05)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[9204.6,9220.6)} => {fcurDistrictTax=[4100,4140)}",0.012820513,1,0.012820513,78,1
"{fcurTotalAmountDue=[9204.6,9220.6)} => {fcurTaxDue=[28615,28768)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1299e+05,3.1351e+05)} => {fcurTotalSales=[3.1323e+05,3.1355e+05)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1299e+05,3.1351e+05)} => {fcurDistrictTax=[5441,5460)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1299e+05,3.1351e+05)} => {fcurTaxDue=[28510,28575)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1299e+05,3.1351e+05)} => {fcurPrepayment1=[9292,9365.9)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1299e+05,3.1351e+05)} => {fcurPrepayment2=[9730,9769)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1299e+05,3.1351e+05)} => {fcurRemainingTax=[9439.5,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.1299e+05,3.1351e+05)} => {fcurTotalAmountDue=[9440.3,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1323e+05,3.1355e+05)} => {fcurDistrictTax=[5441,5460)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1323e+05,3.1355e+05)} => {fcurTaxDue=[28510,28575)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1323e+05,3.1355e+05)} => {fcurPrepayment1=[9292,9365.9)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1323e+05,3.1355e+05)} => {fcurPrepayment2=[9730,9769)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1323e+05,3.1355e+05)} => {fcurRemainingTax=[9439.5,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurTotalSales=[3.1323e+05,3.1355e+05)} => {fcurTotalAmountDue=[9440.3,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[5441,5460)} => {fcurTaxDue=[28510,28575)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[5441,5460)} => {fcurPrepayment1=[9292,9365.9)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[5441,5460)} => {fcurPrepayment2=[9730,9769)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[5441,5460)} => {fcurRemainingTax=[9439.5,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurDistrictTax=[5441,5460)} => {fcurTotalAmountDue=[9440.3,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[28510,28575)} => {fcurPrepayment1=[9292,9365.9)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[28510,28575)} => {fcurPrepayment2=[9730,9769)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[28510,28575)} => {fcurRemainingTax=[9439.5,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurTaxDue=[28510,28575)} => {fcurTotalAmountDue=[9440.3,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[9292,9365.9)} => {fcurPrepayment2=[9730,9769)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[9292,9365.9)} => {fcurRemainingTax=[9439.5,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment1=[9292,9365.9)} => {fcurTotalAmountDue=[9440.3,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment2=[9730,9769)} => {fcurRemainingTax=[9439.5,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurPrepayment2=[9730,9769)} => {fcurTotalAmountDue=[9440.3,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurRemainingTax=[9439.5,9502.9)} => {fcurTotalAmountDue=[9440.3,9502.9)}",0.012820513,1,0.012820513,78,1
"{fcurGrossSales=[3.6143e+05,3.6506e+05)} => {fcurTotalSales=[3.6143e+05,3.6506e+05)}",0.012820513,1,0.012820513,78,1
