gene_list,description,expected
SNORD36A,PMC6233272,-8.05
FOS,PMC6233272,6.75
RP11-927P21.4,PMC6233272,6.55
SNORD83A,PMC6233272,5.71
AL158069.1,PMC6233272,5.02
RNU7-31P,PMC6233272,-4.82
TNC,PMC6233272,4.06
NR4A1,PMC6233272,3.55
C11orf96,PMC6233272,3.53
SOCS3,PMC6233272,3.29
DARC,PMC6233272,3.15
SERPINE1,PMC6233272,2.94
MT2A,PMC6233272,2.92
ICAM1,PMC6233272,2.92
SLC2A3,PMC6233272,2.82
LDLR,PMC6233272,2.78
CCL21,PMC6233272,2.78
RP11-554D15.2,PMC6233272,2.59
RP11-589M4.2,PMC6233272,-2.55
AOC3,PMC6233272,2.47
CILP,PMC6233272,2.45
LA16c-360H6.2,PMC6233272,-2.44
MT1XP1,PMC6233272,2.41
TMSB4X,PMC6233272,2.41
FTH1P5,PMC6233272,2.40
RPS19P3,PMC6233272,2.35
EVA1B,PMC6233272,2.35
RGS2,PMC6233272,2.33
RP11-428L21.2,PMC6233272,2.31
IL4R,PMC6233272,2.30
FTH1P12,PMC6233272,2.29
ERHP1,PMC6233272,2.28
RPL10,PMC6233272,2.28
CMIP,PMC6233272,2.28
CXCL16,PMC6233272,2.28
CFD,PMC6233272,2.27
CDC42EP1,PMC6233272,2.26
PIGA,PMC6233272,-2.26
NFKB2,PMC6233272,2.26
CTC-444N24.11,PMC6233272,2.25
CTD-2089O24.1,PMC6233272,-2.25
AP5Z1,PMC6233272,2.24
GPAM,PMC6233272,-2.23
SH3PXD2B,PMC6233272,2.22
HMGN1P38,PMC6233272,2.22
CLSTN3,PMC6233272,2.20
TNFRSF1B,PMC6233272,2.19
ATP8B2,PMC6233272,2.19
IGFBP2,PMC6233272,2.19
MT1L,PMC6233272,2.18
NNMT,PMC6233272,2.18
PPRC1,PMC6233272,2.18
ABHD17A,PMC6233272,2.17
SRGN,PMC6233272,2.17
FGL2,PMC6233272,2.17
FZD7,PMC6233272,2.17
AL590762.11,PMC6233272,2.16
GPR124,PMC6233272,2.15
METTL7B,PMC6233272,-2.14
NAB2,PMC6233272,2.14
TRIB1,PMC6233272,2.11
ITIH4,PMC6233272,2.11
TRPV2,PMC6233272,2.11
CAD,PMC6233272,2.10
MYO9A,PMC6233272,-2.10
MYC,PMC6233272,2.09
VWA8P1,PMC6233272,-2.09
FOLR2,PMC6233272,2.09
SDF2L1,PMC6233272,2.08
EMILIN1,PMC6233272,2.08
FRMD8,PMC6233272,2.07
CTD-2230M5.1,PMC6233272,-2.07
MARCKS,PMC6233272,2.07
IQGAP2,PMC6233272,2.06
CTD-2540B15.13,PMC6233272,2.06
ATF3,PMC6233272,2.05
PPM1M,PMC6233272,2.05
RP11-473M20.7,PMC6233272,2.04
THBS1,PMC6233272,2.04
SDHAP3,PMC6233272,-2.04
TTYH3,PMC6233272,2.02
RPL10AP2,PMC6233272,2.02
NOS3,PMC6233272,2.02
ETV6,PMC6233272,2.02
MIF,PMC6233272,2.01
CERCAM,PMC6233272,2.01
ZNF444,PMC6233272,2.01
RP11-73M18.8,PMC6233272,2.01
CYP27A1,PMC6233272,2.01
TEN1,PMC6233272,2.01
HLA-DRB5,PMC6233272,2.00
RP11-311C24.1,PMC6233272,2.00
CSPG4,PMC6233272,2.00
