,SRX610253,SRX610254
PSLT001,9.5,3.5
PSLT002,5,1.5
PSLT003,12.5,11
PSLT004,19.5,20.5
PSLT005,0,0
PSLT006,23,17
PSLT007,0,0.5
PSLT008,3,1.5
PSLT009,16.5,9
PSLT010,5,0.5
PSLT011,2,1.5
PSLT012,2,0.5
PSLT013,3,0.5
PSLT014,23,29.5
PSLT015,1,1.5
PSLT016,4,0.5
PSLT017,1,2.5
PSLT018,5,3.5
PSLT019,0,0.5
PSLT020,0,0
PSLT023,31.5,24
PSLT024,3,4.5
PSLT025,0,0.5
PSLT026,4,15
PSLT027,12.5,16
PSLT028,11.5,19
PSLT029,18.5,6.5
PSLT030,17.5,31
PSLT031,38.5,28
PSLT032,19.5,11
PSLT033,5,3.5
PSLT034,18.5,16
PSLT035,52.5,29.5
PSLT036,0,0.5
PSLT037,0,0
PSLT038,0,0
PSLT039,1,0.5
PSLT040,1,1.5
PSLT041,0,0
PSLT042,4,6.5
PSLT043,26.5,37
PSLT044,109.5,86.5
PSLT045,95,79.5
PSLT046,89,71.5
PSLT047,2,2.5
PSLT048,25.5,21.5
PSLT049,1,0
PSLT050,1,0
PSLT051,40,22.5
PSLT052,52.5,51
PSLT053,49.5,47.5
PSLT054,8,9
PSLT055,3,1.5
PSLT056,0,0
PSLT057,0,0
PSLT059,0,0
PSLT060,0,0
PSLT061,2,0.5
PSLT062,0,0
PSLT063,0,0.5
PSLT064,1,0
PSLT066,0,0
PSLT067,0,1.5
PSLT068,4,4.5
PSLT069,0,1.5
PSLT070,3,1.5
PSLT072,3,0
PSLT073,1,1.5
PSLT075,0,0
PSLT076,0,0
PSLT077,0,0
PSLT078,1,0.5
PSLT079,0,0.5
PSLT080,2,0.5
PSLT081,1,1.5
PSLT082,1,0
PSLT083,0,0
PSLT084,0,0
PSLT085,0,0
PSLT087,0,0
PSLT088,9.5,2.5
PSLT089,0,0
PSLT091,2,0
PSLT092,3,0
PSLT093,0,0.5
PSLT094,1,0
PSLT095,9.5,5.5
PSLT096,0,0.5
PSLT097,0,0.5
PSLT098,0,0
PSLT099,3,0.5
PSLT100,4,2.5
PSLT101,37.5,31
PSLT102,50.5,49
PSLT103,80.5,75.5
PSLT104,8,10.5
PSLT105,0,0
PSLT106,0,0
PSLT107,0,0
PSLT108,64.5,52
PSLT110,8,5.5
PSLT111,17.5,24
STM0001,3,8.5
STM0002,33.5,36
STM0003,28.5,26
STM0004,100,69
STM0005,14.5,21.5
STM0006,15.5,19
STM0007,503,475
STM0008,51.5,42
STM0009,28.5,44
STM0010,0,0.5
STM0011,2,0
STM0012,363.5,416
STM0013,112,98.5
STM0014,1,4.5
STM0015,0,0
STM0016,0,0
STM0017,0,0
STM0018,3,2.5
STM0019,4,6.5
STM0020,1,0.5
STM0021,3,0.5
STM0022,2,0
STM0023,2,2.5
STM0024,3,1.5
STM0025,1,0
STM0026,0,1.5
STM0027,0,0
STM0028,3,0
STM0029,0,0
STM0030,1,0.5
STM0031,0,0.5
STM0032,1,0.5
STM0033,4,4.5
STM0034,0,0
STM0035,1,1.5
STM0036,3,0.5
STM0037,1,2.5
STM0038,5,3.5
STM0039,77,79.5
STM0040,12.5,26
STM0041,3,9
STM0042,3,0
STM0043,327.5,661.5
STM0044,4,36
STM0045,90,70.5
STM0046,574,518.5
STM0047,117,93.5
STM0048,34.5,45.5
STM0049,67,63
STM0050,10.5,9
STM0051,18.5,19
STM0052,5,2.5
STM0053,8,2.5
STM0054,0,0.5
STM0055,0,0
STM0056,0,0
