exp_id,series_id,cond_id
SRX501844,SRP040622,healthy cortex
SRX501845,SRP040622,healthy cortex
SRX501846,SRP040622,healthy cortex
SRX501847,SRP040622,healthy cortex
SRX501848,SRP040622,healthy cortex
SRX501849,SRP040622,cortical ischemic stroke tissue
SRX501850,SRP040622,cortical ischemic stroke tissue
SRX501851,SRP040622,cortical ischemic stroke tissue
SRX501852,SRP040622,cortical ischemic stroke tissue
SRX501853,SRP040622,cortical ischemic stroke tissue
SRX501854,SRP040622,healthy cortex
SRX501855,SRP040622,cortical ischemic stroke tissue
SRX501856,SRP040622,cortical ischemic stroke tissue
SRX5717122,SRP193262,IS-nonA
SRX5717123,SRP193262,IS-nonA
SRX5717124,SRP193262,IS-A
SRX5717125,SRP193262,IS-A
SRX5717126,SRP193262,IS-nonA
SRX5717127,SRP193262,IS-nonA
SRX5717128,SRP193262,IS-nonA
SRX5717129,SRP193262,IS-nonA
